#;LLR;kumul.;Häufig;links;rechts;Kookkurrenzen;syntagmatische Muster;


;433;154;68708;6;1;4;eingeben;100% in|die ... Maske [...] eingeben

;434;154;68748;40;-2;-2;endlich; 52% endlich ... die Maske

;435;152;68755;7;-4;5;Tuch; 71% Tuch als oder Maske

;436;152;68763;8;2;2;Anonymität; 62% Anonymität der|von Pelzgewand und ... Maske

;437;151;68770;7;-5;-2;Rächer; 85% der Rächer mit der Maske

;438;151;68777;7;-3;-3;Soll-Höhe eintragen ;100% Soll-Höhe in der Maske eintragen im jetzigen

;439;150;68791;14;1;5;schlüpfen; 85% in die Maske des ... zu schlüpfen

;440;150;68794;3;-3;-2;Tragens;100% des Tragens die Maske

;441;150;68801;7;-2;-2;Aufsetzen;100% das Aufsetzen der Maske

;442;149;68803;2;2;4;Konterfei; 50% Maske ... Konterfei

;443;147;68827;24;-5;5;Kleidung; 54% in die|mit Maske [und die der] Kleidung

;444;147;68840;13;-3;-1;Garderoben; 76% in die|den Garderoben [und die] Maske den Fundus

;445;147;68843;3;-4;5;Sturmhaube;100% Sturmhaube als Maske

;446;147;68849;6;-5;-4;Verlassen; 66% Verlassen des Lokals ist Maske ... tragen

;447;146;68850;1;-5;-2;Melodien;100% Melodien ... Maske

;448;146;68857;7;-4;5;Olympiasieger; 71% Maske [war 1988 ...] Olympiasieger

;449;146;68869;12;-1;-1;Schwarze;100% die Schwarze [...] Maske

;450;145;68872;3;2;2;Höflichkeit;100% Maske der ... Höflichkeit

;451;145;68878;6;2;2;Phantoms; 66% die Maske des Phantoms

;452;145;68883;5;-5;5;bekleidet;100% und ... Maske [...] bekleidet

;453;145;68890;7;1;1;abreißen Holla ;100% wir die Maske abreißen und dann Holla die Waldfee

;;;68895;5;1;1;abreißen ; 80% Maske [...] abreißen

;454;144;68899;4;-5;5;Jim;100% Jim Carreys KomödieDie Maske

;455;143;68902;3;-1;-1;aufwendige;100% aufwendige [...] Maske

;456;143;68909;7;-4;5;Perücken;100% Maske [und ...] Perücken und

;457;143;68945;36;1;1;saß; 52% in der Maske [...] saß

;458;143;68951;6;-5;5;Plexiglas; 66% Maske und ... Plexiglas

;459;143;68961;10;1;5;obligatorisch; 90% die Maske [ist in der City] obligatorisch

;460;142;68962;1;-5;5;Mumie;100% Mumie ... Maske

;461;142;68964;2;-1;-1;silbernen;100% silbernen Maske

;462;142;69003;39;-5;4;Bus; 53% Reisezeit im Bus [mit|die ohne] Maske sei eben

;463;141;69023;20;-5;5;Verwandlung; 75% Maske ... -|Kunst der Verwandlung

;464;141;69025;2;-1;-1;akustische; 50% akustische Maske

;465;141;69026;1;-4;2;Vaders;100% Vaders ... Maske

;466;141;69033;7;2;2;Kostüm-Abteilung Mitarbeiter ;100% Auch die Mitarbeiter in Maske und Kostüm-Abteilung habeneinen

;467;139;69055;22;2;2;Täters;100% der|die Maske ... des Täters

;468;139;69060;5;-3;-3;Prämierung schönsten ;100% Prämierung der schönsten Maske

;;;69068;8;-3;-3;Prämierung ;100% Uhr die Prämierung der besten Maske findet um

;469;138;69069;1;1;5;aufsetzten;100% Maske aufsetzten

;470;138;69072;3;-5;4;Regieassistenz;100% Regieassistenz [...] Maske

;471;138;69127;55;-5;4;Kampf; 50% den Kampf [...] Maske

;472;138;69136;9;-5;5;Hose; 88% Hose ... und|mit Weste ... Maske

;473;138;69137;1;1;4;verhüllt;100% Maske ... verhüllt

;474;138;69140;3;-1;-1;getragene;100% getragene Maske

;475;137;69142;2;-4;-4;während Unterrichts ;100% Maske [...] während des Unterrichts

;;;69233;91;-4;-4;während ; 54% der|die Maske [...] während der ...

;476;137;69254;21;-5;3;Kulissen; 66% den|die Kulissen [... und|in die|der] Maske die|und ...

;477;137;69258;4;-2;-2;Geständnis;100% Das Geständnis der grünen Maske

;478;136;69260;2;-1;-1;steinerne;100% steinerne Maske

;479;136;69261;1;1;1;kümmerte;100% Maske kümmerte

;480;136;69263;2;-4;-1;tragt;100% tragt [...] Maske

;481;135;69272;9;-4;5;vorgeschrieben; 77% die Maske obwohl ... vorgeschrieben

;482;135;69279;7;1;5;gelüftet;100% die Maske [...] gelüftet

;483;135;69281;2;1;3;aufzubehalten;100% Maske aufzubehalten

;484;134;69291;10;-1;-1;solche; 60% solche ... Maske

;485;134;69304;13;-5;-2;Gesichter; 53% Maske [macht] Gesichter für Gehörlose

;486;134;69311;7;1;1;anlegen; 57% die Maske [nicht] anlegen

;487;134;69312;1;-3;-1;ausdruckslosen;100% ausdruckslosen Maske

;488;134;69315;3;-1;1;bürgerlicher; 66% bürgerlicher Maske

;489;134;69325;10;-1;-1;venezianischer;100% mit venezianischer Maske und ...

;490;134;69329;4;-4;-1;Beerbalk Silvia Hilmar ;100% Ansage Silvia und Melanie Beerbalk Maske Hilmar Müller-Späth Konrad

;;;69331;2;-4;-1;Beerbalk Silvia ;100% Silvia und Melanie Beerbalk Maske

;491;134;69358;27;-5;-1;Corona; 66% vor Corona [... der|ohne] Maske

;492;133;69405;47;-3;-2;nahm; 78% nahm [... die] Maske ab und

;493;133;69449;44;-1;-1;richtige; 75% mich die richtige [...] Maske

;494;133;69451;2;-1;-1;angefertigten;100% angefertigten Maske

;495;133;69454;3;1;5;Duran Williams ;100% Duran Williams [...] Maske

;496;133;69455;1;-5;-1;Innenräumen;100% Innenräumen ... Maske

;497;132;69461;6;4;4;Neydereck Anna Ingeborg ;100% Ingeborg Damm den 99.|100. Anna Maske den 74.|75.Erwin Neydereck den

;;;69462;1;4;4;Neydereck Anna ;100% Anna Maske ... Neydereck

;498;132;69470;8;-2;-1;durchgehend; 87% bandXost-Team trägt durchgehend [... die] Maske

;499;131;69495;25;1;1;dient; 52% die|als Maske [...] dient

;500;131;69500;5;2;5;McDonalds-Filialen;100% Maske betreibt heute zehn|vier McDonalds-Filialen

;501;130;69501;1;1;3;überzog;100% Maske überzog

;502;130;69506;5;-1;-1;weisser; 80% mit weisser Maske

;503;129;69516;10;1;5;geschützt; 80% mit|der Maske [gut vor ...] geschützt

;504;129;69528;12;-3;-3;Runter;100% Runter mit der Maske

;505;129;69533;5;-5;5;Mund-Nasen-Schutz; 60% Maske oder Mund-Nasen-Schutz

;506;128;69587;54;1;3;zeigt; 57% Maske [...] zeigt

;507;128;69593;6;1;5;Accessoire;100% die Maske als|zum ... Accessoire

;508;127;69594;1;-5;5;Klitschko Vitali ;100% Vitali Klitschko ... Maske

;;;69597;3;-5;5;Klitschko ; 66% Maske ... Klitschko

;509;126;69598;1;-1;-1;gruselige;100% gruselige Maske

;510;125;69603;5;-1;-1;perfekten;100% perfekten [...] Maske

;511;125;69608;5;2;4;Demaskierung Ikarus ;100% Häutung die Maske und Demaskierung und Ikarus als

;;;69613;5;2;4;Demaskierung ;100% Maske und Demaskierung

;512;124;69618;5;-1;-1;grüne;100% die ... grüne [...] Maske

;513;124;69622;4;-1;-1;schützende;100% schützende Maske

;514;124;69635;13;-1;3;dunkler; 69% mit dunkler [...] Maske

;515;124;69640;5;-5;5;Beatmung; 60% Beatmung mit der Maske

;516;124;69644;4;-4;4;masque;100% masque [allongé lange] Maske

;517;124;69649;5;-5;3;schminkt; 80% aus der Maske und schminkt sie ab

;518;124;69657;8;-5;5;Mundschutz; 50% mit Maske ... und Mundschutz

;519;124;69662;5;-3;-2;Ganzkörperanzug Laborschuhen Überschuhen luftgefüllten ;100% aus einem luftgefüllten Ganzkörperanzug Schürze Maskemit Filter Laborschuhen Überschuhen und

;;;69664;2;-3;-2;Ganzkörperanzug ; 50% Maske ... Ganzkörperanzug

;520;123;69666;2;1;3;basteln;100% Maske [...] basteln

;521;123;69672;6;-5;5;St; 83% Hafenpolizei - St Pauli ohne Maske

;522;123;69679;7;-1;-1;aufwendiger;100% mit aufwendiger [...] Maske und ...

;523;123;69680;1;-5;5;Commedia dellArte ;100% Maske ... Commedia dellArte

;;;69682;2;-5;5;Commedia ; 50% Maske ... Commedia

;524;123;69692;10;-4;3;Handschuh; 60% mit Maske [...] Handschuh und Fußball

;525;123;69700;8;-3;-3;Csukker;100% Robert Csukker und Team Maske

;526;122;69703;3;1;5;überzieht; 66% Maske [...] überzieht

;527;122;69706;3;-1;-1;weinende;100% weinende [...] Maske

;528;122;69713;7;-1;-1;silberne;100% die silberne Maske

;529;121;69721;8;2;2;Narren; 75% in der|die Maske des Narren ... die

;530;121;69722;1;-2;-1;durchsichtige;100% durchsichtige Maske

;531;121;69729;7;-1;-1;gefertigte;100% aus ... gefertigte Maske

;532;121;69740;11;-2;-2;Innenseite; 90% nicht die Innenseite der Maske kontaminieren ...

;533;121;69744;4;2;5;Nasenrücken;100% Maske am ... Nasenrücken

;534;120;69836;92;-1;-1;Diese; 98% Diese [...] Maske

;535;120;69846;10;-4;3;Catering; 60% Maske [...] Catering

;536;120;69851;5;-5;5;starr; 80% die Maske [jedoch] starr

;537;120;69874;23;-4;5;Träger; 52% dass die|der Maske ... den ... Träger

;538;120;69878;4;1;1;auflegen;100% Maske [...] auflegen

;539;119;69886;8;-4;-1;Maschera; 87% Liebe über Maschera [nobile die vornehme] Maske bis Volpe

;540;119;69889;3;2;5;Vorschein;100% Maske und zum Vorschein

;541;119;69894;5;-3;5;boxte; 80% Maske [...] boxte

;542;119;69896;2;4;4;Tartuffe;100% Tartuffe ... Maske

;543;118;69918;22;-1;-1;Welche;100% Welche Maske

;544;118;69926;8;-5;5;maskiert; 62% maskiert mit ohne Maske

;545;118;69930;4;-5;-1;Trägt;100% Trägt der ... Maske

;546;118;69932;2;-4;5;Sportpyramide;100% Maske erhält Sportpyramide

;547;118;69934;2;-5;3;undurchdringliche;100% undurchdringliche [...] Maske

;548;117;69944;10;-5;5;Markenzeichen; 60% und Finanzwesens.Die Maske war ihr Markenzeichen

;549;117;69948;4;-3;-1;Tauchanzug;100% Wie im Tauchanzug [mit] Maske tief und

;550;117;69951;3;-5;3;Fantomas;100% Fantomas ... der ... Maske

;551;117;69960;9;-5;5;dicht gedrängt ; 66% dicht gedrängt und ohne Maske

;;;69981;21;-5;5;dicht ; 52% die Maske [... nicht ...] dicht

;552;117;69982;1;2;2;Feldherrn;100% Maske ... Feldherrn

;553;116;69995;13;-4;4;Degen; 61% ohne Maske und Degen

;554;116;70000;5;2;3;Sternheim-Stück Verkörperung ;100% für seine Verkörperung des Christian Maske im Sternheim-Stück 1913 in

;;;70001;1;2;3;Sternheim-Stück ;100% Maske ... Sternheim-Stück

;555;116;70002;1;2;2;Wanderkino-Schaustellers;100% Maske ... Wanderkino-Schaustellers

;556;115;70004;2;-5;-3;Edgar;100% Edgar [...] Maske

;557;114;70007;3;-4;-3;Antonio; 66% Antonio ... Maske

;558;114;70009;2;-1;-1;furchterregenden;100% furchterregenden [...] Maske

;559;114;70012;3;-2;-2;Erzählung;100% Maske ... Erzählung

;560;114;70014;2;-5;5;Gesichtsschutz;100% Maske ... Gesichtsschutz

;561;114;70015;1;1;1;erstarrten;100% Maske ... erstarrten

;562;114;70018;3;-1;-1;fertige;100% die fertige Maske

;563;114;70020;2;2;3;Tutenchamun;100% Maske des Tutenchamun

;564;114;70023;3;-4;2;Lungenautomat; 66% Maske und Lungenautomat

;565;113;70047;24;-3;3;Ausstattung; 75% Ausstattung [Kostüm und] Maske und ...

;566;113;70050;3;-5;5;Gesichtszüge; 66% Maske ... die ... Gesichtszüge

;567;113;70054;4;-4;5;geboxt; 75% Maske hat immer so geboxt

;568;113;70099;45;-5;-2;Kunden; 84% Kunden ohne ... Maske

;569;113;70103;4;-3;3;Kostümfundus; 50% Maske ... Kostümfundus

;570;112;70111;8;-5;5;Gestik; 62% Gestik und|aber auch der|die hervorragende Maske

;571;112;70123;12;-3;5;Revanche; 75% Abschied will Maske [will|fiebert] Revanche für

;572;112;70138;15;-5;5;verschwindet; 60% und verschwindet in|die der Maske

;573;112;70139;1;-5;2;Fremdschutz;100% Fremdschutz ... Maske

;574;111;70140;1;-4;5;Overall;100% Maske ... Overall

;575;111;70143;3;-5;4;riß; 66% riß die Maske

;576;111;70192;49;-2;-2;bitte; 83% Aber bitte mit die Maske

;577;111;70193;1;3;3;Schatzinsel;100% Maske ... Schatzinsel

;578;111;70200;7;2;2;entzauberter Biest aufwändiger attraktives ;100% als attraktives Biest mit aufwändiger Maske als entzauberterPrinz und

;579;110;70209;9;-5;-3;Jeder;100% Jeder [Schüler mit seine] Maske ... einen

;580;110;70212;3;-5;5;Gaspistole; 66% Maske und Gaspistole

;581;110;70215;3;1;5;angefertigt;100% die Maske ... angefertigt

;582;110;70265;50;-1;-1;Seine; 94% Seine [...] Maske

;583;110;70274;9;-5;-2;Rapper; 88% der ... Rapper mit der Maske

;584;110;70288;14;-5;4;Schminken; 71% Schminken [in der|die ...] Maske Kostüm

;585;110;70289;1;2;2;Bürgerlichkeit;100% Maske ... Bürgerlichkeit

;586;110;70305;16;-3;-3;gesundheitlichen Gründen ;100% die aus gesundheitlichen Gründen keine Maske tragenkönnen|dürfen

;;;70309;4;-3;-3;gesundheitlichen ; 50% Maske tragen möchten oder aus gesundheitlichen

;587;109;70333;24;-3;-3;Blick; 62% Blick [in|auf die] Maske

;588;109;70345;12;-1;-1;Anna Architektin ; 83% um von|die Architektin [...] Anna Maske ... in

;;;70368;23;-1;-1;Anna ; 95% Anna [...] Maske

;589;109;70369;1;-3;-2;trag;100% trag ... Maske

;590;109;70378;9;-4;-2;Killer; 88% der Killer mit der Maske

;591;109;70390;12;-1;-1;perfekter;100% mit perfekter [...] Maske und

;592;109;70391;1;2;4;17.15;100% 17.15 ... Maske

;593;109;70392;1;2;2;Sehschlitz;100% Maske ... Sehschlitz

;594;109;70395;3;-5;5;IBF; 66% Maske ... der IBF

;595;109;70398;3;1;1;verweigert;100% verweigert [... ohne] Maske

;596;108;70401;3;2;2;Pappmaché; 66% Maske aus Pappmaché

;597;108;70405;4;-2;-1;berühmte;100% die berühmte [...] Maske

;598;108;70411;6;-2;3;Latex; 83% Pauli trägt Maske [und] Latex

;599;108;70422;11;1;3;herumlaufen;100% mit Maske [...] herumlaufen

;600;108;70438;16;-5;5;Supermarkt; 50% die Maske nicht|im in den Supermarkt

;601;107;70445;7;1;5;betrat;100% und furchterregender Maske [...] betrat den Saal

;602;107;70451;6;-1;-1;freundlichen; 83% der freundlichen [...] Maske

;603;107;70457;6;-5;-2;Jochbeinbruch;100% nach seinem Jochbeinbruch ... mit Maske

;604;107;70464;7;-2;2;Kinderarzt;100% Wie Kinderarzt Maske schildert nutzen

;605;107;70475;11;2;3;Co; 63% Maske &|Stadler und Co

;606;107;70478;3;-1;-1;furchterregender;100% furchterregender Maske

;607;107;70486;8;-3;5;Fight; 50% Maske hatte den letzten Fight

;608;107;70492;6;-2;-2;Ausblasen;100% das Ausblasen der Maske

;609;107;70493;1;-4;-1;Karloffs;100% Karloffs Maske

;610;107;70495;2;1;5;Gesichtsschild;100% Maske und Gesichtsschild

;611;106;70768;273;1;1;wieder; 56% die Maske [...] wieder

;612;106;70867;99;-3;-2;natürlich; 75% - natürlich mit Maske

;613;106;70878;11;1;1;gesessen;100% in der Maske [...] gesessen

;614;106;70880;2;-5;-3;Demonstrant;100% Demonstrant ... Maske

;615;106;70884;4;2;3;Freundlichkeit;100% Maske der Freundlichkeit

;616;106;70885;1;-5;5;Halmich Regina ;100% Maske ... Regina Halmich

;617;106;70890;5;-3;4;Haube; 60% Maske und Haube

;618;106;70898;8;-2;-2;Abnehmen; 87% Abnehmen der Maske

;619;106;70899;1;-5;-2;stülpte;100% stülpte ... Maske

;620;106;70907;8;1;4;abziehen; 87% die Maske [...] abziehen und

;621;106;70909;2;-4;5;Mundöffnung;100% Mundöffnung ... Maske

;622;105;70973;64;-4;-2;ob; 76% ob [mit die|oder ohne] Maske

;623;105;70979;6;-2;5;empfohlen; 66% Maske [...] empfohlen

;624;105;70980;1;-5;5;versteckte;100% versteckte ... seine ... Maske

;625;105;70982;2;-5;-2;Becker Boris ; 50% Maske ... Boris Becker

;;;70986;4;-5;-2;Becker Schumacher ; 50% Becker Schumacher [...] Maske

;;;70997;11;-5;-2;Becker ; 63% Becker und ... Maske

;626;105;71006;9;1;3;abzureißen;100% Teufel die Maske [...] abzureißen sucht

;627;105;71007;1;1;4;Roccigiani;100% Maske ... Roccigiani

;628;105;71008;1;-3;-3;Biest;100% Biest ... Maske

;629;105;71009;1;-5;2;Biedermännern;100% Maske ... Biedermännern

;630;105;71010;1;1;3;überzuziehen;100% Maske überzuziehen

;631;105;71012;2;-5;5;Bühnenaufbau; 50% Maske ... Bühnenaufbau

;632;105;71015;3;-3;-2;Häutung; 66% Häutung ... Maske

;633;105;71016;1;-5;-3;Eek Schlümpfe Kater ;100% Eek ... Kater ... Maske ... Schlümpfe

;634;105;71027;11;-4;-2;Passagiere;100% Passagiere ... ohne|die Maske

;635;105;71030;3;2;5;desinfizierten;100% Maske mit ... desinfizierten

;636;105;71033;3;-1;3;Konsumkiller;100% Konsumkiller Maske

;637;104;71040;7;-1;-1;originellste;100% für die originellste Maske

;638;104;71046;6;2;4;Hörnern;100% samt roter Maske mit den Hörnern und scharfen

;639;104;71050;4;-2;-1;Imkerpräsident;100% Imkerpräsident [Peter] Maske

;640;103;71053;3;2;5;Gesichtsfeld;100% die Maske ... Gesichtsfeld

;641;103;71080;27;-4;-2;legt; 85% legt [... die] Maske ab ...

;642;103;71085;5;-5;5;Manuela Adebar ;100% Manuela Adebar und Christine Hege Maske

;;;71086;1;-5;5;Manuela Greb ;100% Manuela Greb ... Maske

;;;71100;14;-5;5;Manuela ; 85% und Manuela [Peifer] Maske und die

;643;103;71102;2;-4;5;bedecken; 50% Maske ... bedecken

;644;103;71106;4;-4;-3;Ziehen;100% Ziehen Sie|wir beide die Maske

;645;102;71107;1;-4;5;Gesichtes;100% Maske ... Gesichtes

;646;102;71127;20;-5;-2;Puck; 90% der|den Puck an die Maske

;647;102;71189;62;-5;-2;Leute; 83% die Leute [... die|ohne] Maske tragen

;648;102;71209;20;2;5;Haare; 65% in|aus der Maske bieten|vorschlug an|Mias|die lange Haarezu|abzuschneiden schneiden

;649;102;71211;2;1;4;Sven Hannawald ;100% Sven Hannawald gegen die Maske

;;;71212;1;1;4;Sven ;100% Maske ... Sven

;650;102;71215;3;1;1;beatmet; 66% Maske [...] beatmet

;651;101;71374;159;-3;-2;immer; 52% die Maske [...] immer

;652;101;71387;13;1;4;benutzen; 92% gut die|als Maske [...] benutzen center plain

;653;101;71390;3;1;2;aufhatte;100% die Maske [...] aufhatte

;654;101;71393;3;-1;-1;groteske; 66% groteske Maske

;655;100;71633;240;-4;-2;Sie; 82% Sie [... die] Maske

;656;100;71642;9;1;1;erwischt;100% Bürgermeister ohne Maske [...] erwischt

;657;100;71644;2;-1;-1;schützenden; 50% Maske ... schützenden

;658;100;71646;2;2;2;Biedermänner;100% Maske ... Biedermänner

;659;99;71654;8;-4;-2;Gestalt; 62% in ... Gestalt mit|und Maske

;660;99;71685;31;-2;-2;Kunst; 54% in|die der Maske in der|die ... Kunst

;661;99;71775;90;-3;-2;mal; 63% mal [in|die] Maske

;662;99;71777;2;1;1;eingegeben;100% Maske eingegeben

;663;99;71783;6;-5;1;stundenlang; 83% stundenlang in der Maske

;664;99;71784;1;1;1;vs;100% vs Maske

;665;99;71795;11;-5;4;u; 54% mit Maske [...] u

;666;99;71796;1;-5;-2;Jugendärzte;100% Maske ... Jugendärzte

;667;98;71800;4;-4;4;Tanz Schauspiel Gesang ; 75% den Bereichen Schauspiel Gesang Maske KostümSchattentanz oder Tanz generell

;;;71803;3;-4;4;Tanz Gesang ; 66% Tanz Gesang Maske

;;;71821;18;-4;4;Tanz ; 72% Tanz mit|und Maske und

;668;98;71825;4;-3;5;Filter;100% Maske ... Filter

;669;98;71826;1;-1;-1;abgenommene;100% abgenommene Maske

;670;98;71832;6;-3;-3;öffentlichen Verkehrsmitteln ; 83% in öffentlichen Verkehrsmitteln keine Maske tragen

;;;71854;22;-3;-3;öffentlichen ; 59% auch die|ohne|keine Maske am im öffentlichen Leben|Raumteilhaben

;671;98;71860;6;-5;-2;Tram; 83% Tram ... keine Maske

;672;97;71871;11;-3;-3;ehemaligen;100% und gekonnter Maske in den|des ehemaligen US-Vizepräsidenten Dick

;673;97;71878;7;1;1;zurecht; 85% rückt seine Maske [...] zurecht

;674;97;71880;2;-1;-1;aufwändiger;100% aufwändiger Maske

;675;97;71882;2;-2;4;Atemgerät; 50% Maske ... Atemgerät

;676;97;71890;8;3;4;Tasche; 75% die Maske ... die|in|aus der Tasche

;677;97;71895;5;-4;1;Amadori Steinel Egerer ; 40% Egerer ... Amadori [...] Maske ... Steinel

;;;71896;1;-4;1;Amadori Steinel ;100% Amadori Maske Steinel

;;;71898;2;-4;1;Amadori Egerer ; 50% Egerer Amadori Maske

;678;97;71900;2;1;1;runternehmen;100% Maske runternehmen

;679;97;71902;2;1;4;durchfeuchtet;100% Maske durchfeuchtet

;680;96;71908;6;-5;-1;geheimnisvolle; 50% Maske ... geheimnisvolle

;681;96;71921;13;3;5;ziehen; 53% die Maske [bis zu|in das Genick] ziehen

;682;96;71922;1;1;1;runtergerissen;100% Maske runtergerissen

;683;96;71930;8;1;1;abzusetzen;100% die Maske [der ...] abzusetzen

;684;96;71941;11;-2;2;korrekt; 63% die Maske [...] korrekt

;685;96;71943;2;-5;3;Mund-Nasen-Bedeckung;100% Mund-Nasen-Bedeckung ... Maske

;686;95;71965;22;-5;3;Freien; 68% im Freien [und mit] Maske tragen ...

;687;95;71968;3;-5;-3;gekleidet;100% gekleidet mit grün-schwarzer Maske

;688;95;71969;1;-1;3;jovialen;100% Maske ... jovialen

;689;95;71971;2;3;3;Roche-Cotard;100% Maske von La Roche-Cotard

;690;95;71977;6;-3;3;niest; 83% - ohne Maske - niest viel Farbe

;691;94;71983;6;-5;5;Atemluft; 66% Atemluft ... die der Maske

;692;94;72007;24;-4;-2;Öffentlichkeit; 75% in der Öffentlichkeit keine ... Maske

;693;94;72013;6;-5;5;Puppe; 66% Puppe [... mit] Maske

;694;94;72115;102;-3;-3;weil; 53% weil [sie die] Maske

;695;94;72126;11;-1;-1;Uta; 90% Uta Maske

;696;94;72127;1;-5;5;Witt;100% Maske ... Witt

;697;94;72131;4;-5;5;betritt;100% - ... Maske - das Cockpit betritt

;698;94;72132;1;-4;-2;weigerte;100% weigerte ... Maske

;699;94;72133;1;1;1;tragend;100% Maske tragend

;700;93;72143;10;-3;-1;mittels; 80% mittels [... der] Maske

;701;93;72144;1;1;3;überstülpen;100% Maske überstülpen

;702;93;72147;3;-3;2;Kostümschneiderei; 66% Kostümschneiderei [...] Maske

;703;93;72155;8;-2;5;Spezialeffekte; 62% Spezialeffekte & Maske

;704;93;72159;4;-1;-1;liberale;100% liberale Maske

;705;93;72160;1;-5;-2;Müritz-Saga;100% Müritz-Saga ... Maske

;706;93;72161;1;-3;5;Halbschwergewichts-Champion;100% Halbschwergewichts-Champion Maske

;707;92;72177;16;-5;-3;Ausstellung; 56% die|der Ausstellung [Wir sind] Maske

;708;92;72216;39;-5;-2;braucht; 61% braucht ... keine|die ... Maske

;709;92;72217;1;2;2;Scheinheiligkeit;100% Maske ... Scheinheiligkeit

;710;92;72222;5;-4;5;Totenkopf; 60% Maske ... halb ... Totenkopf

;711;92;72223;1;-5;3;tarnt;100% Maske tarnt

;712;92;72230;7;1;1;ausziehen;100% die Maske [...] ausziehen

;713;92;72235;5;-1;-1;sitzende;100% sitzende Maske

;714;92;72237;2;3;4;Holla;100% Maske abreissen und dann Holla

;715;91;72246;9;-5;4;Schauspiel; 66% Schauspiel [ohne] Maske

;716;91;72254;8;1;5;feucht;100% die Maske [...] feucht

;717;91;72255;1;2;5;DiCaprio;100% Maske ... DiCaprio

;718;91;72257;2;2;2;Entsetzens;100% Maske des Entsetzens

;719;91;72267;10;2;2;Cape; 90% Jahren liegen Maske [und] Cape nun im

;720;91;72274;7;-2;-2;Gründen medizinischen ;100% die aus medizinischen [...] Gründen keine Maske tragenkönnen

;;;72279;5;-2;-2;Gründen ; 60% dass die Maske aus pädagogisch sinnvollen Gründen auch

;721;90;72362;83;-1;-1;ihrer; 65% mit ihrer [...] Maske

;722;90;72363;1;1;4;aufgehabt;100% Maske aufgehabt

;723;90;72405;42;-1;-1;Peter; 69% Peter [... die] Maske

;724;90;72411;6;-5;4;Boris; 66% Boris Rousson auf die Maske ... und

;725;90;72412;1;-5;5;Aufnahmeleitung;100% Maske Aufnahmeleitung

;726;90;72418;6;-2;-2;demonstrativ; 83% demonstrativ mit Maske

;727;90;72421;3;1;1;unterm;100% Maske [...] unterm

;728;90;72422;1;-5;4;Geldsetzer Brigitte ;100% Maske ... Brigitte Geldsetzer

;;;72424;2;-5;4;Geldsetzer ;100% Geldsetzer sieht in Gehrock und Maske

;729;90;72441;17;-5;5;Hygiene; 70% Abstand Maske [...] Hygiene und

;730;89;72521;80;2;2;seinem; 52% Maske [... auf|in] seinem

;731;89;72527;6;1;1;ausgestattet; 83% mit Maske [...] ausgestattet

;732;89;72534;7;-1;-1;komische; 85% die komische [... halb ...] Maske

;733;89;72539;5;-5;3;Dramaturgie; 60% Maske ... Dramaturgie

;734;89;72549;10;-5;5;Pose; 80% die Maske [und die] Pose

;735;89;72552;3;-5;4;Myers; 66% Myers ... mit Maske

;736;89;72565;13;1;1;gewöhnt; 92% an|sind die Maske [...] gewöhnt

;737;88;72610;45;-5;-4;Dann;100% Dann ... die Maske

;738;88;72612;2;-4;-4;geheimnisvollen;100% geheimnisvollen [...] Maske

;739;88;72613;1;1;1;anlegt;100% Maske ... anlegt

;740;88;72618;5;-5;-2;Prominente DRITTES REICH ;100% Prominente ohne Maske - DRITTES REICH - 1000

;;;72625;7;-5;-2;Prominente ;100% Prominente ohne Maske

;741;88;72633;8;4;5;Bußgeld; 87% ihr Personal Maske trägt sind 5000|150 Euro Bußgeld

;742;88;72635;2;-4;-4;Corona-Regeln; 50% Maske ... Corona-Regeln

;743;87;72643;8;-4;-1;Porträt; 62% Das Porträt als europäische Maske

;744;87;72648;5;1;4;auftritt;100% mit Maske [...] auftritt

;745;87;72653;5;2;2;Räubers; 80% Maske des|eines Räubers

;746;87;72681;28;-4;-2;Besucher; 78% Besucher mit ohne Maske

;747;87;72683;2;-2;3;Bonhomie;100% Maske der Bonhomie

;748;87;72684;1;2;3;Spaßmachers;100% Maske ... Spaßmachers

;749;87;72686;2;-5;2;Einweghandschuhe;100% Maske Haarhaube Einweghandschuhe

;750;86;72726;40;-5;-2;Spiegel; 62% Spiegel und|in die Maske

;751;86;72733;7;1;5;verwandelt; 57% der Maske [in ...] verwandelt

;752;86;72736;3;-4;3;Beleuchter;100% Beleuchter ... Maske

;753;86;72741;5;-3;-3;Patient;100% der Patient [... ohne] Maske

;754;86;72742;1;-5;5;Klitschkos;100% Maske ... Klitschkos

;755;86;72746;4;-5;-3;Gesichtshaut; 75% Gesichtshaut ... als Maske

;756;86;72748;2;1;1;anzulegen;100% Maske ... anzulegen

;757;86;72749;1;-3;-1;feuchtigkeitsspendende;100% feuchtigkeitsspendende ... Maske
